,index,FL_DATE,DEP_DELAY
0,0,2016-01-01,9.163461538461538
1,1,2016-01-02,12.969750889679716
2,2,2016-01-03,23.267006802721088
3,3,2016-01-04,17.030252100840336
4,4,2016-01-05,27.39147286821705
5,5,2016-01-06,39.877906976744185
6,6,2016-01-07,9.79417122040073
7,7,2016-01-08,7.231464737793852
8,8,2016-01-09,6.045146726862303
9,9,2016-01-10,9.801587301587302
10,10,2016-01-11,8.098360655737705
11,11,2016-01-12,1.0534351145038168
12,12,2016-01-13,5.916201117318436
13,13,2016-01-14,9.594545454545454
14,14,2016-01-15,8.952641165755919
15,15,2016-01-16,10.17169373549884
16,16,2016-01-17,4.86875
17,17,2016-01-18,8.783882783882785
18,18,2016-01-19,6.95
19,19,2016-01-20,4.277153558052435
20,20,2016-01-21,4.582577132486389
21,21,2016-01-22,13.598802395209582
22,22,2016-01-23,6.201044386422977
23,23,2016-01-24,9.67167381974249
24,24,2016-01-25,5.727611940298507
25,25,2016-01-26,0.7567567567567568
26,26,2016-01-27,-0.1299435028248587
27,27,2016-01-28,2.210526315789474
28,28,2016-01-29,7.175724637681159
29,29,2016-01-30,5.498845265588915
30,30,2016-01-31,19.9402390438247
31,31,2016-02-01,2.966292134831461
32,32,2016-02-02,4.58235294117647
33,33,2016-02-03,5.308988764044944
34,34,2016-02-04,5.111913357400722
35,35,2016-02-05,11.518987341772153
36,36,2016-02-06,0.5105386416861827
37,37,2016-02-07,0.6416309012875536
38,38,2016-02-08,4.7150735294117645
39,39,2016-02-09,7.440313111545988
40,40,2016-02-10,5.551401869158879
41,41,2016-02-11,5.051601423487544
42,42,2016-02-12,3.7035087719298247
43,43,2016-02-13,9.810502283105023
44,44,2016-02-14,10.420833333333333
45,45,2016-02-15,12.40036231884058
46,46,2016-02-16,8.475285171102662
47,47,2016-02-17,13.238888888888887
48,48,2016-02-18,14.987455197132617
49,49,2016-02-19,18.32155477031802
50,50,2016-02-20,6.255555555555556
51,51,2016-02-21,4.889097744360902
52,52,2016-02-22,4.776785714285714
53,53,2016-02-23,5.067542213883677
54,54,2016-02-24,9.566355140186916
55,55,2016-02-25,5.371681415929204
56,56,2016-02-26,3.69055944055944
57,57,2016-02-27,21.18888888888889
58,58,2016-02-28,4.385767790262173
59,59,2016-02-29,9.373665480427048
60,60,2016-03-01,4.325187969924812
61,61,2016-03-02,7.776363636363636
62,62,2016-03-03,7.86411149825784
63,63,2016-03-04,14.438898450946644
64,64,2016-03-05,8.33763440860215
65,65,2016-03-06,14.204044117647058
66,66,2016-03-07,16.728571428571428
67,67,2016-03-08,8.279112754158964
68,68,2016-03-09,8.666666666666666
69,69,2016-03-10,21.384347826086955
70,70,2016-03-11,24.6213921901528
71,71,2016-03-12,11.949895615866389
72,72,2016-03-13,17.490018148820326
73,73,2016-03-14,13.691768826619963
74,74,2016-03-15,5.692870201096892
75,75,2016-03-16,5.798573975044564
76,76,2016-03-17,7.715017064846417
77,77,2016-03-18,14.286926994906622
78,78,2016-03-19,6.700623700623701
79,79,2016-03-20,8.678507992895204
80,80,2016-03-21,14.972270363951472
81,81,2016-03-22,8.675774134790528
82,82,2016-03-23,9.75
83,83,2016-03-24,13.7560553633218
84,84,2016-03-25,11.077054794520548
85,85,2016-03-26,8.950310559006212
86,86,2016-03-27,11.362989323843417
87,87,2016-03-28,13.484429065743944
88,88,2016-03-29,7.597096188747732
89,89,2016-03-30,9.201067615658364
90,90,2016-03-31,9.344827586206897
91,91,2016-04-01,6.37261698440208
92,92,2016-04-02,8.82441113490364
93,93,2016-04-03,9.037837837837838
94,94,2016-04-04,7.185886402753873
95,95,2016-04-05,7.971580817051509
96,96,2016-04-06,2.9582608695652173
97,97,2016-04-07,15.772260273972602
98,98,2016-04-08,17.103918228279387
99,99,2016-04-09,12.92421052631579
100,100,2016-04-10,13.613756613756614
101,101,2016-04-11,9.005102040816327
102,102,2016-04-12,4.715044247787611
103,103,2016-04-13,4.584192439862543
104,104,2016-04-14,6.523489932885906
105,105,2016-04-15,7.444444444444445
106,106,2016-04-16,3.3447537473233404
107,107,2016-04-17,12.524647887323944
108,108,2016-04-18,10.082191780821915
109,109,2016-04-19,2.1031468531468533
110,110,2016-04-20,7.728373702422146
111,111,2016-04-21,9.169747899159663
112,112,2016-04-22,9.944162436548224
113,113,2016-04-23,1.7510460251046025
114,114,2016-04-24,4.930434782608696
115,115,2016-04-25,6.8155668358714045
116,116,2016-04-26,4.181338028169014
117,117,2016-04-27,15.20490367775832
118,118,2016-04-28,10.89419795221843
119,119,2016-04-29,11.312178387650086
120,120,2016-04-30,9.475890985324948
121,121,2016-05-01,12.35387323943662
122,122,2016-05-02,10.87085514834206
123,123,2016-05-03,5.068783068783069
124,124,2016-05-04,5.0174825174825175
125,125,2016-05-05,9.03045685279188
126,126,2016-05-06,18.61694915254237
127,127,2016-05-07,6.88981288981289
128,128,2016-05-08,7.015901060070672
129,129,2016-05-09,9.62350936967632
130,130,2016-05-10,6.480701754385965
131,131,2016-05-11,8.258620689655173
132,132,2016-05-12,10.468697123519458
133,133,2016-05-13,15.512776831345828
134,134,2016-05-14,9.55761316872428
135,135,2016-05-15,9.790657439446369
136,136,2016-05-16,8.198641765704584
137,137,2016-05-17,5.392361111111111
138,138,2016-05-18,3.986254295532646
139,139,2016-05-19,9.336134453781511
140,140,2016-05-20,19.962774957698816
141,141,2016-05-21,6.022540983606557
142,142,2016-05-22,4.97754749568221
143,143,2016-05-23,10.53637901861252
144,144,2016-05-24,7.6545768566493955
145,145,2016-05-25,12.825862068965517
