FL_DATE,Test_Set_JFK,Forecast_Arima,Forecast_Expsm
2018-04-04,22.15497076023392,13.542030782809425,11.401454978707555
2018-04-05,6.839237057220709,15.680885386162837,13.1901956696675
2018-04-06,19.49862258953168,10.781807668986211,12.130791572811244
2018-04-07,2.7096774193548385,14.97386023639341,13.353918770064578
2018-04-08,6.706849315068493,9.473514120055441,11.589178566104488
2018-04-09,8.789041095890411,10.538851943317916,10.784875842433179
2018-04-10,3.5187319884726227,11.107332845728731,10.456126077708925
2018-04-11,3.4394366197183097,9.229828781427292,9.312474693105878
2018-04-12,4.300546448087432,8.969287414720995,8.341073208881621
2018-04-13,5.276881720430108,9.052468072126574,7.670332353949962
2018-04-14,1.9931972789115646,9.218941923261735,7.272194554161194
2018-04-15,25.182336182336183,7.954182560221062,6.392355624092547
2018-04-16,90.07720588235294,15.713018038415798,9.502809802054237
2018-04-17,12.536931818181818,38.962712696296826,22.84551107446467
2018-04-18,-1.8687150837988826,14.536817974310088,20.924613514882797
2018-04-19,6.089189189189189,9.436071643784326,17.082811346124995
2018-04-20,2.0808625336927222,11.566706627337284,15.34600573009063
2018-04-21,3.140983606557377,9.920745451673959,13.286572097010703
2018-04-22,2.76566757493188,9.909272091627379,11.716364621303574
2018-04-23,0.6556473829201102,9.477898227955777,10.323396662310545
2018-04-24,3.131054131054131,8.468432561127234,8.80469351824498
2018-04-25,36.85031847133758,8.989509367523231,7.904355083520211
2018-04-26,4.33972602739726,20.28475031961718,12.415746364409149
2018-04-27,10.578512396694215,10.04067348326757,11.177607102928697
2018-04-28,29.956228956228955,11.920368716345202,11.085796747051269
2018-04-29,2.2465373961218837,18.472438107590182,13.973135002755967
2018-04-30,1.9418282548476453,9.655199551005065,12.177993972402172
2018-05-01,-1.072829131652661,9.211373139469911,10.620018359760413
2018-05-02,2.0055555555555555,7.873081261182795,8.833176777528235
2018-05-03,14.067934782608695,8.539705966281817,7.7801690664645715
2018-05-04,5.504043126684636,12.377174667557536,8.749787574284191
2018-05-05,0.11764705882352941,9.62616585065117,8.252420648222964
2018-05-06,1.3425414364640884,7.6598607951306885,7.001427110981431
2018-05-07,0.8617886178861789,7.783890191325883,6.1250522939299366
2018-05-08,-0.036619718309859155,7.389843304346636,5.305767426785554
2018-05-09,0.953168044077135,6.838873322966117,4.470183315977477
2018-05-10,26.95303867403315,6.957203441631792,3.918048688080747
2018-05-11,5.9144385026737964,15.617918522577984,7.481970542464188
2018-05-12,6.706666666666667,9.10879311435395,7.242721810278396
2018-05-13,4.7250755287009065,9.326524794403284,7.16090544459233
2018-05-14,12.815217391304348,8.597424562269405,6.7891025776184
2018-05-15,69.52475247524752,11.268038527666148,7.708660554901907
2018-05-16,37.96716417910448,30.73600236297178,17.188047873332277
2018-05-17,13.007957559681698,21.947093558095887,20.774201512915607
2018-05-18,9.331550802139038,14.142381625064504,19.413900992977908
2018-05-19,17.71474358974359,12.800715564264276,17.75687907298053
2018-05-20,10.914666666666667,15.490007149695938,17.750194012326016
2018-05-21,6.98404255319149,13.25539593548029,16.679840136989856
2018-05-22,10.094707520891365,11.785004139357635,15.187374916882073
2018-05-23,7.822888283378747,12.616589075376446,14.410026666976398
2018-05-24,12.335092348284961,11.724158077980519,13.406046271692489
2018-05-25,7.476063829787234,13.09125943654066,13.242706233053935
2018-05-26,3.7,11.409451133640445,12.36242816489755
2018-05-27,9.102990033222591,9.952790000451607,11.03484201605178
2018-05-28,0.5730337078651685,11.534001587424212,10.7372605923363
2018-05-29,1.5950413223140496,8.539156461371416,9.165632332380186
2018-05-30,5.6208791208791204,8.55800515557132,7.981723127103559
2018-05-31,25.739837398373982,9.66639705292631,7.6103530627823135
