FL_DATE,Test_Set_LAX,Forecast_Arima,Forecast_Expsm
2018-04-03,9.058922558922559,11.032746944211896,10.391938425759472
2018-04-04,11.814691151919867,10.463316859439447,10.040132536317607
2018-04-05,5.651050080775445,11.427889184589372,10.508152903656857
2018-04-06,12.412724306688418,9.029935767589187,9.227867610162463
2018-04-07,6.353965183752417,11.394454630340636,10.067831557086683
2018-04-08,8.677524429967427,9.1115877464255,9.09033176130362
2018-04-09,8.0288,9.7832953470084,8.981505442145188
2018-04-10,4.203020134228188,9.441030804756712,8.730382805389738
2018-04-11,3.957377049180328,7.817336016391028,7.53510340476503
2018-04-12,7.431061806656102,7.400685048651235,6.5855821645933235
2018-04-13,8.764984227129338,8.491576916632125,6.810227749408245
2018-04-14,6.411650485436893,8.977948919299564,7.3273497655545565
2018-04-15,18.338788870703766,8.081452488090616,7.0855303682523285
2018-04-16,26.449367088607595,12.71142752470277,10.049305578291658
2018-04-17,11.198305084745762,16.58416453969289,14.459278408501023
2018-04-18,5.4118616144975284,11.468042404613392,13.560686918270807
2018-04-19,9.567353407290016,9.140576259673974,11.3928834029281
2018-04-20,7.421383647798742,10.439248591214685,10.913927982246493
2018-04-21,7.896749521988528,9.5164467442452,9.99787066149312
2018-04-22,9.328025477707007,9.523064634896246,9.445845353977019
2018-04-23,8.946031746031746,9.96191689295241,9.41486779010673
2018-04-24,7.991467576791809,9.773663576199432,9.291662873239261
2018-04-25,8.197986577181208,9.349792356938222,8.949930908844596
2018-04-26,8.300632911392405,9.334878023918485,8.75219917979033
2018-04-27,7.492957746478873,9.300000630828006,8.633449365086262
2018-04-28,0.6174242424242424,8.921686708649345,8.333493385434522
2018-04-29,9.48407643312102,6.086941802320052,6.298750614233195
2018-04-30,6.202830188679245,9.145688781851206,7.14161177344533
2018-05-01,1.6414141414141414,7.934253969595472,6.894596489365112
2018-05-02,4.083194675540765,6.011080903748307,5.509661986822874
2018-05-03,14.958795562599049,6.6267620977446615,5.131801308984802
2018-05-04,9.472527472527473,10.797195396177843,7.714426922612709
2018-05-05,2.7448015122873346,9.091877454042631,8.17551664597738
2018-05-06,11.8258785942492,6.516922647414283,6.75424690740272
2018-05-07,3.91283676703645,9.825007935949877,8.078438120236378
2018-05-08,3.3372093023255816,6.950047447696724,6.99162142790861
2018-05-09,9.303571428571429,6.489817977123154,6.038490438797324
2018-05-10,7.238924050632911,8.625983846967085,6.8900382963073294
2018-05-11,8.9625,7.951394471741474,6.980886416715174
2018-05-12,2.8869731800766285,8.639932461165628,7.496906640515929
2018-05-13,4.357259380097879,6.335649082434092,6.297206904928462
2018-05-14,11.626794258373206,6.6550524943195795,5.791895939191451
