FL_DATE,Test_Set_LAX,Forecast_Arima,Forecast_Expsm
2018-04-03,9.058922558922559,11.042433154464605,10.391938425759472
2018-04-04,11.814691151919867,10.52845949666566,10.040132536317607
2018-04-05,5.651050080775445,11.601194121867513,10.508152903656857
2018-04-06,12.412724306688418,8.735712808149367,9.227867610162463
2018-04-07,6.353965183752417,11.8710495214139,10.067831557086683
2018-04-08,8.677524429967427,8.56410248130317,9.09033176130362
2018-04-09,8.0288,10.066274503894606,8.981505442145188
2018-04-10,4.203020134228188,9.173448271122632,8.730382805389738
2018-04-11,3.957377049180328,7.603259212448886,7.53510340476503
2018-04-12,7.431061806656102,7.363614510569214,6.5855821645933235
2018-04-13,8.764984227129338,8.351810870091205,6.810227749408245
2018-04-14,6.411650485436893,8.509773803680172,7.3273497655545565
2018-04-15,18.338788870703766,7.5098324701610855,7.0855303682523285
2018-04-16,26.449367088607595,12.653037720128236,10.049305578291658
2018-04-17,11.198305084745762,15.659169182071087,14.459278408501023
2018-04-18,5.4118616144975284,10.081813511388326,13.560686918270807
2018-04-19,9.567353407290016,9.282960289551191,11.3928834029281
2018-04-20,7.421383647798742,10.653417430428686,10.913927982246493
2018-04-21,7.896749521988528,9.202584837784396,9.99787066149312
2018-04-22,9.328025477707007,9.514161008085406,9.445845353977019
2018-04-23,8.946031746031746,9.785278114775569,9.41486779010673
2018-04-24,7.991467576791809,9.478194110382958,9.291662873239261
2018-04-25,8.197986577181208,9.0708196625593,8.949930908844596
2018-04-26,8.300632911392405,9.098269718172128,8.75219917979033
2018-04-27,7.492957746478873,8.99295474177119,8.633449365086262
2018-04-28,0.6174242424242424,8.568442925215802,8.333493385434522
2018-04-29,9.48407643312102,5.583443455994099,6.298750614233195
2018-04-30,6.202830188679245,9.375142072073901,7.14161177344533
2018-05-01,1.6414141414141414,6.98347457294789,6.894596489365112
2018-05-02,4.083194675540765,5.554447739700459,5.509661986822874
2018-05-03,14.958795562599049,6.353637681823123,5.131801308984802
2018-05-04,9.472527472527473,10.418382163730882,7.714426922612709
2018-05-05,2.7448015122873346,7.711992520504615,8.17551664597738
2018-05-06,11.8258785942492,5.8515590270522715,6.75424690740272
2018-05-07,3.91283676703645,9.724530251714036,8.078438120236378
2018-05-08,3.3372093023255816,5.66005526410797,6.99162142790861
2018-05-09,9.303571428571429,6.224735737687549,6.038490438797324
2018-05-10,7.238924050632911,8.153866504578103,6.8900382963073294
2018-05-11,8.9625,6.941907924806415,6.980886416715174
2018-05-12,2.8869731800766285,8.044291426058995,7.496906640515929
2018-05-13,4.357259380097879,5.316277024871708,6.297206904928462
2018-05-14,11.626794258373206,6.2867312200551275,5.791895939191451
2018-05-15,9.535893155258764,8.810594848882918,7.309095831031931
2018-05-16,9.071778140293638,7.6898406098131105,7.888032167864807
2018-05-17,9.921507064364206,8.08213612636567,8.196168306837343
2018-05-18,13.45125786163522,8.49270032085967,8.645625886719678
2018-05-19,5.368620037807183,10.105382143817021,9.900826489324867
2018-05-20,17.31050955414013,6.768302336922448,8.71742720753338
2018-05-21,14.984375,12.491043795669373,10.953552933111634
2018-05-22,7.830870279146141,10.745507754205523,12.013287641177829
2018-05-23,8.9776,8.845016148649789,10.916194943225605
2018-05-24,10.7265625,9.677429030012764,10.411957178794403
2018-05-25,8.671850699844478,10.086893244225505,10.493696525908664
2018-05-26,4.809980806142034,9.207280057920308,10.020450097019896
2018-05-27,0.5948905109489051,7.721010723076507,8.666395992780169
2018-05-28,6.717041800643087,5.874169359310088,6.554252506557032
2018-05-29,5.371753246753247,8.139380887911177,6.597182948868998
2018-05-30,12.00487012987013,6.740282374024111,6.275188497772001
2018-05-31,12.314465408805031,9.710349560145456,7.772292561969925
2018-06-01,5.858934169278997,9.406122989007576,8.953830061475873
2018-06-02,5.5803402646502835,7.206822953647022,8.148706348444138
2018-06-03,10.192125984251968,7.467532889002608,7.481508243137427
2018-06-04,7.435658914728682,9.057759887151565,8.185510349177475
2018-06-05,2.3629032258064515,7.6407884370843995,7.990841486746505
2018-06-06,4.175824175824176,5.83807619378595,6.529794785371792
2018-06-07,7.722727272727273,6.547511673561788,5.91652448181299
2018-06-08,7.6923076923076925,7.491830175133842,6.386912648012711
2018-06-09,8.616197183098592,7.2618827708236315,6.725944638121752
2018-06-10,12.100308641975309,7.782612627461747,7.216498850846651
2018-06-11,7.035982008995502,9.250702830772298,8.484671991374697
2018-06-12,6.472727272727273,7.1530222286671075,8.107949743241054
2018-06-13,9.113323124042878,7.458759754335446,7.683660643050628
2018-06-14,4.938530734632684,8.342774089699706,8.054434442006732
2018-06-15,10.994020926756352,6.455841416173344,7.246601221351054
2018-06-16,5.157068062827225,9.29068376926537,8.217548148699947
2018-06-17,9.476923076923077,6.32716710961525,7.424998820974512
2018-06-18,7.879699248120301,8.762733475919413,7.9560824211694126
2018-06-19,11.182380216383308,7.54889257317502,7.93631348191457
2018-06-20,9.435975609756097,9.31936950273583,8.776589969414374
2018-06-21,10.06980273141123,8.399152622490842,8.947485139780458
2018-06-22,9.369924812030074,9.073923812251184,9.238419044310328
2018-06-23,6.873462214411248,8.753393858282553,9.272514078653913
2018-06-24,12.00920245398773,7.880008906500635,8.651160537356732
2018-06-25,13.936651583710407,10.125486189474174,9.520319286110507
2018-06-26,8.40677966101695,10.635708710572729,10.665692956189144
2018-06-27,6.0592705167173255,8.6762443210057,10.079228216240345
2018-06-28,8.677811550151976,8.164039820678097,9.039414217969826
2018-06-29,7.357784431137724,9.079951269629088,8.945898914307294
