FL_DATE,Test_Set_ATL,Forecast_Arima,Forecast_Expsm
2018-04-03,12.704753199268739,9.060909664481711,6.353733456445047
2018-04-04,8.446866485013624,10.72279494923705,8.667010261985387
2018-04-05,4.537577365163572,9.337779603559431,8.586731809220936
2018-04-06,7.726625111308993,7.474675360865369,7.112477630813531
2018-04-07,7.113636363636363,8.385665959299702,7.335961715973889
2018-04-08,2.8048103607770583,8.32123035844317,7.2550600126079665
2018-04-09,7.783185840707965,6.557116932164398,5.6356320214196405
2018-04-10,4.327838827838828,8.218313480572535,6.417201076591028
2018-04-11,-0.7407740774077408,7.154630550954627,5.657079826358417
2018-04-12,1.2819614711033276,4.875502883109742,3.328017670393876
2018-04-13,3.26297273526825,5.235137486461635,2.5819194011005
2018-04-14,6.297520661157025,6.102823836617485,2.8301611704548373
2018-04-15,27.345643939393938,7.506395357494964,4.092552253911853
2018-04-16,14.534513274336284,16.319666374973195,12.562430576073933
2018-04-17,4.258152173913044,12.911939758602548,13.290052677520416
2018-04-18,2.1825539568345325,8.064454171065746,9.991962651150452
2018-04-19,5.247368421052632,6.248051252075249,7.158323217780184
2018-04-20,3.015845070422535,7.124290833992692,6.464106480811386
2018-04-21,1.5638665132336018,6.392128399441815,5.2107216105306975
2018-04-22,9.486709440879928,5.65316756624591,3.883579028081799
2018-04-23,14.734513274336283,8.713829829957277,5.920255339465368
2018-04-24,3.76497277676951,11.453542438189992,9.119925665434911
2018-04-25,5.9972997299729975,7.557582052060797,7.1758089889746595
2018-04-26,7.272407732864675,7.680859475011702,6.748662045105176
2018-04-27,5.939367311072056,8.220299405200656,6.938491787972789
2018-04-28,1.2933025404157044,7.786962695664595,6.576368237760194
2018-04-29,3.6721311475409837,5.816108573360381,4.661185737909804
2018-04-30,2.2567685589519653,6.381555734267758,4.302324998959866
2018-05-01,0.22311827956989247,5.916912528065634,3.5600851700310594
2018-05-02,5.362903225806452,4.985813452114393,2.3485196378386086
