,Name,Location,Description
131,Abitinos Pizza,Gate 40,Grab & Go
132,Angelina’s Metro Market,Arrivals,Grab & Go
133,Dunkin' Donuts,"""Gate 42 (Inside Hudson)""",Grab & Go
134,Bobby Van's Steakhouse,Across from Gate 14,Restaurants
135,Cascata,Concourse C,$2 Water
136,Cascata,Gate 34,Restaurants
137,Cibo Market,Gate 7,Grab & Go
138,Cibo Market,Concourse B,$2 Water
139,Martini Bar,Gate 4,Restaurants
140,Dunkin' Donuts,Arrivals,Grab & Go
141,Hudson,Arrivals,$2 Water
142,Hudson,Concourse B,$2 Water
143,Hudson,Concourse B,$2 Water
144,Hudson,Concourse B,$2 Water
145,Hudson,Concourse C,$2 Water
146,Hudson,Concourse C,$2 Water
147,Hudson,Concourse C,$2 Water
148,Mezze Café,Food Court,Grab & Go
149,New York Deli,Concourse C,$2 Water
150,New York Sports Bar,Concourse B,Restaurants
151,O'Neal's Restaurant,Concourse B,Restaurants
152,O'Neals,Concourse B,$2 Water
153,SoHo Bistro,Concourse C,$2 Water
154,SoHo Bistro,Concourse C,Restaurants
155,Starbucks,Near Food Court,Grab & Go
